Nome Corso,Link,Descrizione per IA
AMMINISTRAZIONE AZIENDALE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/amministrazione-aziendale,"Il corso di studi in Amministrazione Aziendale forma laureati con ampia conoscenza teorico-pratica dei principali processi di governo delle imprese, delle organizzazioni non profit e delle amministrazioni pubbliche. Il corso è, infatti, finalizzato allo studio della struttura delle aziende (come nascono e come si organizzano) e del loro funzionamento (come vengono gestite). Il corso di studi in Amministrazione Aziendale è contraddistinto da un approccio multidisciplinare, orientato a garantire la capacità di analisi e di soluzione delle problematiche aziendali di carattere organizzativo, gestionale ed informativo sotto vari profili (statistico-matematico, giuridico, economico e sociale). Il corso si svolge in modalità telematica al fine di consentirne la fruizione a lavoratori e studenti residenti in sedi disagiate. Per immatricolarsi al corso di laurea in Amministrazione Aziendale (complex learning) è necessario sostenere il TARM (Test di Accertamento dei Requisiti Minimi) che per l'a.a. 2026-2027 sarà erogato attraverso il TOLC-E di CISIA."
AMMINISTRAZIONE E CONTROLLO AZIENDALE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/amministrazione-e-controllo-aziendale,"Il corso di studi in Amministrazione e Controllo Aziendale (ACA) mira a creare la forma mentis e a fornire il bagaglio di conoscenze necessarie per svolgere compiti professionali e direzionali di alto livello tipici delle funzioni 'amministrative' o 'economico-finanziarie' (la cosiddetta AFC, cioè Amministrazione, Finanza e Controllo) per il presidio e l'ottimizzazione della gestione economico-finanziaria. - informazione economico-finanziaria per gli azionisti e per i terzi (bilancio d'esercizio e consolidato, Italian GAAP e IFRS); Le competenze e le conoscenze acquisite potranno essere utilizzate all'interno di aziende di ogni tipo e settore, sia private sia pubbliche, in ambito nazionale e internazionale. Inoltre, potranno essere spese non solo all'interno delle aziende, ma anche in qualità soggetti esterni, quali revisori e consulenti."
AMMINISTRAZIONE E GESTIONE DIGITALE DELLE AZIENDE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/amministrazione-e-gestione-digitale-delle-aziende,"Il CdS è un CdS LM-77 di Scienze economico-aziendali proposto dai Dipartimenti di Management 'Valter Cantino' (capofila), Giurisprudenza e Informatica, che verrà erogato prevalentemente a distanza e in lingua italiana. La sede didattica è quella di Torino. Esso mira a creare figure professionali in grado di gestire e far sviluppare i nuovi modelli di business delle aziende nate in un contesto fortemente digitale e innovativo, ma anche capaci di dominare la trasformazione digitale dei business più tradizionali. Il laureato viene ad acquisire una forma mentis e delle competenze interdisciplinari in ambito aziendale, giuridico e tecnologico, che permettono di padroneggiare il fenomeno della digital transformation nel suo complesso e nelle sue diverse sfaccettature, con ruoli di coordinamento fra le diverse funzioni aziendali. Tale proposta è allineata alle richieste dei numerosi stakeholder legati ai CdS dei Dipartimenti coinvolti, ai risultati degli studi di settore, oltre che alla necessità di disporre di architetture sostenibili per i diversi percorsi formativi."
ANTROPOLOGIA CULTURALE ED ETNOLOGIA,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/antropologia-culturale-ed-etnologia,"L'Antropologia Culturale è stata storicamente concepita come lo studio dell'essere umano sotto il profilo delle sue diversità storico-culturali, e l'Etnologia come lo studio delle principali aree culturali e geografiche in cui esse sono state di volta in volta prese in considerazione. La nascita e l'affermazione di queste discipline in epoca coloniale ne hanno segnato a lungo il profilo, i contenuti e lo sviluppo, facendone un sapere incerto: critico, tra i primi a smascherare razzismi e giudizi etnocentrici e, in alcuni casi, complice dello sguardo coloniale. Se in passato, grazie in primo luogo alla ricerca sul campo, è stato proprio lo sguardo antropologico a rivelare le violenze e le contraddizioni delle società europee e dell'espansione imperiale, con le lotte anticoloniali e con l'affermarsi di pratiche di ricerca più inclini alla collaborazione tra ricercatori/ricercatrici e popolazioni locali e alla circolazione dei saperi si sono imposte svolte e cambiamenti. L'antropologia, accanto allo studio, alla descrizione e alla rappresentazione delle altre culture, si è dedicata così all'analisi delle proprie categorie e strategie conoscitive, alla necessità del dialogo (e non solo dell'interpretazione), alla consapevolezza di farsi testimonianza e archivio critico delle trasformazioni incessanti di ogni società (inclusa quella occidentale). Il Corso di Laurea in Antropologia Culturale ed Etnologia (ACE) dell'Università di Torino intende contraddistinguersi per una marcata attenzione alle differenti teorie antropologiche (includendo tra queste anche le “antropologie degli altri”) e per una pratica rigorosa della conoscenza etnografica (che pone in primo piano le questioni etiche e politiche relative ai 'soggetti etnografici'), nonché per l'approfondimento di ambiti tematici specifici, tra i quali: antropologia della complessità, antropologia sociale, antropologia politica, antropologia economica, antropologia stato e nazionalismi, antropologia visiva, antropologia medica e psicologica, antropologia delle migrazioni, antropologia dei beni culturali, antropologia dell'infanzia, antropologia museale, antropologia della natura, antropologia della violenza, antropologia dei cambiamenti climatici e antropologia pubblica. Il Corso assume come temi centrali dell'antropologia contemporanea i nodi irrisolti delle relazioni interculturali, del razzismo e delle asimmetrie di potere a livello locale e globale; le tensioni determinate nelle società contemporanee dal confronto culturale, religioso e politico; le questioni relative alle forme di famiglia, parentela, genitorialità, genere e infanzie; le politiche della memoria e del corpo anche in rapporto all'eredità della “situazione coloniale”; i conflitti determinati dall'economia e dalla competizione nell'accesso alle risorse naturali."
ARCHEOLOGIA E STORIA ANTICA,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/archeologia-e-storia-antica,"Il Corso di studio magistrale in Archeologia e Storia antica si propone di formare archeologi che siano anche storici e contemporaneamente storici che siano anche archeologi. In altre parole una precisa idea culturale motiva e sostanzia il Corso di Laurea magistrale: gli archeologi possono leggere e interpretare correttamente i contesti materiali, siano essi strutture monumentali oppure corredi funerari oppure ancora materiale ceramico o coroplastico, solo se sono in grado di riflettere con profondità sui fenomeni storici di riferimento. Altre e diverse serie documentarie devono, infatti, concorrere alla loro preparazione: le fonti letterarie e, in particolare evidenza, quelle epigrafiche. Analogamente gli storici del mondo antico non possono cogliere appieno la complessità dei fenomeni che si presentano alla loro osservazione se non conoscono con serietà d'approccio non solo le tradizionali fonti letterarie, ma soprattutto la documentazione epigrafica e quella archeologica. La complementarietà tra discipline diverse, eppure affini, può condurre in modo certo al risultato di preparare un esperto a tutto tondo del mondo antico, che sappia cogliere i molti aspetti in cui un fenomeno può palesarsi. Per formare un laureato magistrale in Archeologia e Storia antica sono necessarie esperienze formative sia teoriche sia pratiche. Accanto ai corsi specialistici, condotti in aula, esperienze in laboratorio portano gli studenti a familiarizzare con i materiali, sia archeologici sia epigrafici. Esperienze pratiche sono inoltre previste ogni anno sui documenti conservati nei Musei. Assecondando infine la tradizione illustre dell'Università di Torino, campagne di scavo sono annualmente condotte in Italia, in Asia e in Egitto, consentendo agli studenti una preparazione avanzata attraverso esperienze dirette sul campo. Anche per gli studenti di epigrafia sono previste attività di addestramento pratico e viaggi di istruzione, per curare la formazione specialistica anche attraverso l'autopsia diretta sul materiale epigrafico."
AREA & GLOBAL STUDIES FOR INTERNATIONAL COOPERATION,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/area-global-studies-international-cooperation,"Il corso di laurea magistrale (in lingua inglese) in Area & Global Studies for International Cooperation mira a fornire le competenze necessarie per operare nel contesto della cooperazione internazionale, con un solido background nel campo interdisciplinare degli studi d'area e globali e competenze specifiche riguardanti un'area geografica / culturale specifica (Africa , Asia e le Americhe). Al termine, gli studenti avranno acquisito conoscenze avanzate nei settori della politica internazionale e della cooperazione, una conoscenza approfondita dell'organizzazione politica, economica e sociale di specifiche aree geografiche, con adeguata attenzione per le dimensioni giuridica, storica, culturale, linguistica e antropologica , così come la comprensione interdisciplinare dei processi globali. Avranno acquisito gli strumenti metodologici e teorici necessari per interpretare le trasformazioni sociali, economiche, territoriali, ambientali e culturali e la rilevanza della dimensione di genere in tali processi. Infine, avranno acquisito le competenze necessarie per sviluppare progetti di cooperazione internazionale, nonché per valutare i risultati e l'efficacia di un progetto, piano o strategia. 1. Gli studenti che intendono iscriversi al Corso di Laurea Magistrale in AGIC devono essere in possesso di una Laurea Triennale o di un Diploma universitario triennale, o di altro titolo di studio conseguito all'estero riconosciuto equipollente ai sensi della normativa vigente. Lo studente deve inoltre possedere i requisiti curriculari e l'adeguata preparazione personale di cui ai successivi paragrafi 2 e 3, non essendo consentita l'iscrizione in caso di carenza formativa."
ARTIFICIAL INTELLIGENCE  AND HIGH PERFORMANCE COMPUTING TECHNOLOGIES,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/artificial-intelligence-and-high-performance-computing,"Il corso di laurea magistrale “Artificial Intelligence and High Performance Computing Technologies” ha la durata di due anni e forma figure professionali esperte in intelligenza artificiale e calcolo ad alte prestazioni, in grado di operare nell'ambito dell'analisi, la progettazione, lo sviluppo e la gestione di sistemi di e per l'intelligenza artificiale complessi, distribuiti, affidabili e ad alte prestazioni. Per favorire l'ingresso in aziende, PA, e/o centri di ricerca con respiro internazionale, per favorire la partecipazione di studenti non madrelingua e gli scambi con altre università straniere, tutti gli insegnamenti sono tenuti in lingua inglese. Il corso non prevede indirizzi e include insegnamenti obbligatori che forniscono le basi matematiche, informatiche ed etico-giuridiche per la progettazione e lo sviluppo di sistemi di intelligenza artificiale basati su tecnologie e paradigmi per il calcolo ad alte prestazioni e per gli algoritmi e i sistemi di machine e deep learning. Grazie agli insegnamenti inseriti nei gruppi di scelta, invece, gli/le studenti possono approfondire le tematiche relative al trattamento del linguaggio naturale, alla visione artificiale, alla progettazione di sistemi di intelligenza artificiale affidabili e responsabili, ai paradigmi avanzati di computazione quantistica e distribuita e agli aspetti avanzati di machine e deep learning, della visione artificiale e del linguaggio naturale. È inoltre possibile arricchire la formazione con un'ampia scelta di argomenti interdisciplinari o con un laboratorio trasversale guidato dalle stesse studentesse e studenti per la soluzione di problemi reali introdotti da ricercatori e aziende. Completa la formazione la tesi di laurea che può essere svolta presso i gruppi di ricerca del Dipartimento di Informatica."
ARTIFICIAL INTELLIGENCE FOR BIOMEDICINE AND HEALTHCARE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/artificial-intelligence-biomedicine-and-healthcare,"Con la LM-91 “Artificial Intelligence for Biomedicine and Healthcare”, ci si propone di creare una nuova figura professionale capace di applicare l'innovazione digitale al settore biomedico e sanitario. Punto di forza del CdS è rappresentato dal fatto che il/la laureat* avrà una visione “a tutto tondo” dell'ambito biomedico insieme all'esperienza pratica e a solide competenze nelle discipline dell'intelligenza artificiale e della scienza dei dati. Il Corso è organizzato in 2 anni e articolato in 120 crediti necessari per il conseguimento della laurea magistrale. Sono previsti insegnamenti che coprono i principali campi della biomedicina e dell'analisi e gestione informatica dei dati, così come insegnamenti integrati volti ad approfondire gli aspetti applicativi e multidisciplinari. A completare l'offerta formativa, saranno affrontati anche gli aspetti etici, legali ed economici pertinenti l'analisi e la gestione di dati biomedici in contesti pubblici e privati. Le esperienze in laboratorio e la tesi di laurea che prevede"
BENI CULTURALI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/beni-culturali,"Il corso di laurea in Beni Culturali mette a disposizione degli studenti le competenze presenti nell'Ateneo torinese per fornire i presupposti necessari alla formazione delle figure professionali in grado di confrontarsi con i diversi ambiti del patrimonio culturale. Oltre a offrire una preparazione umanistica di base, l'itinerario formativo prevede l'acquisizione di competenze iniziali mirate allo studio e alla gestione dei Beni Culturali e all'applicazione delle conoscenze storiche per la tutela e valorizzazione delle opere d'arte e dei reperti archeologici, del patrimonio archivistico e librario e del paesaggio. L'offerta didattica intende garantire l'acquisizione delle competenze di base per sbocchi occupazionali orientati verso un ampio spettro di ambiti, pubblici e privati, quali musei, soprintendenze, case editrici, mercato dell'arte (case d'asta, gallerie, antiquari), tutela e valorizzazione ambientale e paesistica, turismo culturale, ecc. L'accesso con la sola laurea triennale a molti di tali ambiti professionali è peraltro limitato a ruoli subordinati. Costituisce pertanto il percorso formativo più indicato per accedere ai corsi di laurea magistrale in Archeologia e Storia antica, Storia dell'arte, Storia del libro, del documento e del patrimonio culturale e Geografia e scienze territoriali, nelle quali lo studente avrà la possibilità di completare e affinare le competenze acquisite con la laurea triennale e di conseguire (tramite gli specifici percorsi formativi) la piena idoneità per accedere all'insegnamento scolastico, nonché ai vari settori dello studio, della ricerca, della tutela e della gestione del patrimonio culturale."
BIOLOGIA DELL'AMBIENTE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/biologia-dellambiente,"Il Corso di Laurea Magistrale in Biologia dell'Ambiente è di durata biennale ed è ad accesso non programmato; ha come principale obiettivo la preparazione di laureati con un'ampia conoscenza nei diversi settori ambientali delle scienze biologiche. Durante il primo anno lo studente acquisisce un'eccellente preparazione nella biologia applicata con specifiche competenze nel campo del controllo e della tutela dell'ambiente nelle sue diverse componenti. A tale scopo il corso di Laurea Magistrale prevede attività formative comuni (6 insegnamenti) per tutti gli iscritti finalizzate all'approfondimento dei metodi sperimentali ed analitici utili allo studio e alla valutazione dei principali comparti ambientali (sistemi naturali e sistemi antropici confinati). A partire dal secondo semestre del primo anno di Corso di Studio, lo studente può scegliere fra 3 differenti curricula al fine di indirizzare la propria conoscenza, comprensione e capacità applicativa in ambiti più specializzati, riferibili alla conservazione della biodiversità animale, all'igiene dell'ambiente e del lavoro, ai servizi ecosistemici e alle analisi biologiche applicate alla salvaguardia dei beni culturali. I tre curricula, articolati con 5 insegnamenti caratterizzanti, sono: Il corso di laurea comprende attività formative, lezioni ed esercitazioni di laboratorio e in campo e contempla l'espletamento di attività esterne, sotto forma di tirocini formativi e di preparazione di tesi di laurea presso aziende, strutture della pubblica amministrazione e laboratori, oltre a soggiorni presso altre università italiane ed estere, anche nel quadro di accordi internazionali."
